"GeneID","GSM4681806","GSM4681807","GSM4681808","GSM4681809","GSM4681810","GSM4681811","GSM4681812","GSM4681813","GSM4681814","GSM4681815","GSM4681816","GSM4681817","GSM4681818","GSM4681820"
100287102,12,28,59,32,79,46,17,28,27,6,27,69,14,96
653635,455,215,119,117,106,400,294,172,259,392,652,382,239,307
102466751,7,3,0,1,1,0,1,1,1,6,3,13,2,3
107985730,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100302278,0,0,0,0,0,0,0,0,0,0,0,0,0,0
645520,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100996442,117,164,39,6,72,71,98,24,37,39,54,52,33,47
729737,5070,2299,1284,326,901,4387,1829,931,1414,633,2894,1350,1057,1146
102725121,18,32,90,30,79,52,19,24,29,13,28,126,11,155
102723897,457,209,142,97,94,357,291,222,251,449,658,374,236,294
102465909,2,1,1,0,1,0,1,0,0,2,3,3,0,2
107985721,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112268260,10,18,1,0,2,12,3,2,4,3,7,8,5,12
729759,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100132287,1287,855,392,119,287,1078,519,240,358,222,804,510,304,439
105378947,1,1,0,0,4,0,0,0,0,0,0,2,1,0
101928626,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113219467,110,66,40,9,55,154,64,109,105,88,107,180,112,196
81399,7,14,1,0,2,2,4,3,2,1,2,3,4,4
100133331,847,695,398,106,231,675,425,205,285,168,588,512,228,305
107984841,110,85,16,8,43,43,61,13,24,42,54,41,5,48
107984847,172,103,31,9,40,49,85,14,34,29,73,44,8,39
107984849,109,64,8,2,16,50,47,5,19,11,51,24,4,31
100288069,69,93,19,6,35,30,45,8,27,23,42,16,5,31
105378580,20,8,1,1,6,13,13,4,14,9,47,11,7,6
400728,8,3,1,3,6,12,3,3,4,4,12,2,2,5
79854,17,0,2,4,2,23,6,6,14,23,11,15,2,6
643837,92,54,5,17,29,47,25,39,80,80,157,166,77,137
107984850,3,2,0,1,2,4,0,1,2,1,0,4,0,3
284593,1,1,0,0,0,1,0,0,0,0,1,1,0,1
284600,0,0,0,0,0,0,0,0,0,0,20,0,0,0
100130417,0,0,0,0,0,0,0,2,0,0,0,0,0,0
107985728,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148398,58,31,40,24,28,37,15,26,30,26,33,68,36,41
26155,500,455,563,339,338,365,179,179,277,320,301,804,346,708
339451,76,34,20,30,24,43,39,17,32,79,34,151,36,102
84069,9,10,20,9,11,9,6,7,5,6,12,15,8,7
84808,0,0,4,0,1,2,0,2,1,2,4,2,0,0
57801,45,19,151,27,23,71,26,136,305,377,175,85,96,50
9636,1585,1230,18213,1905,1358,740,238,618,508,3844,441,1559,2508,1126
375790,95,70,332,98,79,48,18,34,26,145,36,76,52,61
100288175,4,0,1,1,0,3,0,5,4,4,4,2,0,1
112267874,5,2,1,0,1,11,0,14,1,5,2,3,4,1
105378948,11,4,2,2,2,5,1,9,7,6,7,7,0,1
401934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54991,77,38,54,28,24,93,28,41,38,51,46,111,47,54
254099,1,0,0,0,0,0,0,0,0,1,0,6,0,1
406984,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
554210,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100506376,0,2,0,0,0,0,0,0,2,4,0,0,1,0
254173,6,0,0,1,0,2,0,3,1,2,0,1,1,0
8784,68,67,21,70,46,76,24,26,69,36,27,90,23,67
7293,97,47,19,35,17,50,16,7,78,104,35,117,37,86
51150,1919,1404,1837,794,931,1264,693,590,776,1101,1042,2013,1341,1820
126792,152,216,260,175,139,36,11,28,16,49,18,454,149,376
388581,9,4,4,0,2,20,8,3,8,4,23,4,4,1
118424,739,512,628,300,254,368,216,190,246,274,442,957,574,756
101928895,14,5,0,2,0,17,5,8,15,7,7,3,3,5
6339,38,23,0,15,8,51,18,23,33,31,35,19,6,10
116983,424,329,296,244,204,303,207,156,260,362,202,431,203,299
102465434,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109623456,2,2,1,0,2,1,0,1,1,0,0,0,0,0
126789,113,63,115,58,42,128,46,42,64,69,95,131,66,70
54973,772,553,754,489,429,592,370,332,307,454,448,1126,546,934
102465435,2,1,0,1,1,3,1,0,0,2,1,1,2,3
80772,283,299,321,199,169,76,77,58,56,55,76,324,221,348
83756,25,22,6,21,30,24,12,5,13,10,8,11,7,11
1855,318,200,234,206,146,427,215,139,247,297,194,361,189,250
102466740,6,1,0,2,0,0,1,0,1,0,0,2,0,0
54587,43,15,16,13,17,13,10,14,17,27,32,23,6,14
54998,1014,935,1834,921,544,1110,534,437,588,672,864,1097,1000,756
81669,1000,386,117,99,176,949,469,221,679,884,851,1392,606,1021
148413,164,97,108,67,78,95,84,49,74,88,65,378,173,252
55052,287,168,219,142,153,170,71,97,142,153,131,669,256,552
107984868,0,0,0,0,0,1,0,0,0,0,0,2,0,1
441869,2,2,0,1,3,0,0,0,0,0,1,3,0,4
105378585,0,0,0,0,0,0,0,0,0,0,0,1,0,0
643965,1,0,0,0,0,0,0,0,0,0,0,0,0,0
102724312,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107985729,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64856,0,0,0,0,0,0,0,1,0,2,0,0,0,0
219293,10,10,8,5,12,17,3,8,5,2,0,24,10,18
83858,311,162,140,148,70,345,129,99,240,269,303,296,130,242
55210,153,138,210,174,107,108,60,61,71,103,54,213,127,176
339453,5,3,2,1,1,0,3,1,0,0,0,2,1,1
29101,1540,758,898,351,540,1068,552,505,505,812,795,1970,1456,1850
643988,45,76,96,45,44,8,5,8,13,41,5,104,38,78
105378586,7,10,7,9,4,3,0,0,3,4,4,14,4,10
142678,867,459,498,417,345,792,397,291,453,591,453,875,442,706
8510,103,43,39,30,36,68,42,22,44,55,46,88,37,78
984,1024,451,64,55,243,1387,744,363,947,951,1872,1132,700,997
728661,1212,806,181,155,456,418,240,188,486,476,328,1605,499,1443
8511,39,16,19,13,20,28,12,10,17,21,5,43,13,50
728642,829,241,25,35,213,570,576,158,779,638,1012,1524,563,1150
9906,382,165,31,36,143,118,89,41,123,177,138,762,199,720
112268218,465,140,390,44,143,158,78,90,54,65,210,498,398,420
65220,5851,3532,6648,1863,2330,1536,861,900,834,1231,2328,5252,4422,4832
2782,6453,3932,1478,430,2095,3531,2954,1539,3281,3421,5922,6723,3521,6527
105378949,4,6,1,2,3,12,7,0,3,4,6,13,2,6
163688,5,4,0,0,0,2,0,0,2,3,0,1,0,3
339456,0,0,0,0,0,2,0,2,0,0,0,0,0,0
85452,0,0,0,0,0,0,0,0,4,0,0,0,0,0
107984872,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378589,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2563,0,0,6,4,0,0,0,2,1,0,0,5,5,0
105378590,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378591,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5590,165,105,54,36,59,107,41,37,70,104,78,210,127,195
100506504,23,19,2,6,10,10,3,8,11,11,9,18,20,18
199990,381,337,381,286,222,455,228,180,259,300,307,593,389,409
112268219,28,24,7,4,8,24,12,18,35,37,53,42,22,23
105378593,1,0,0,0,0,0,0,0,0,2,0,1,0,0
6497,826,1229,404,328,785,260,329,215,381,390,1227,1058,421,1160
79906,30,11,7,7,7,26,7,9,7,20,13,43,9,32
100129534,6,2,0,0,4,0,0,2,1,4,1,8,13,8
11079,932,713,853,330,376,564,219,244,216,385,226,1514,764,1322
5192,110,94,66,45,38,97,42,52,35,81,41,176,131,172
9651,134,159,34,51,84,168,104,56,103,123,94,132,52,94
55229,281,180,137,83,84,145,112,69,156,143,321,639,243,437
388585,0,0,0,0,0,0,0,1,0,0,0,0,0,0
115110,289,259,360,187,144,338,126,125,180,202,189,312,187,243
8764,2278,2014,3197,1614,1066,2715,1107,839,1492,1575,1956,2379,1546,1691
100996583,9,11,2,0,1,6,6,9,2,12,11,21,7,11
127281,135,122,163,123,105,63,36,39,46,108,61,310,98,252
79258,23,17,16,24,16,19,16,8,11,21,16,66,20,45
105378597,2,0,0,0,0,0,0,0,0,0,0,0,0,0
100287898,26,19,4,2,2,15,6,5,9,15,1,8,3,8
105378603,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378602,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112268220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107985732,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378600,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378598,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378599,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140625,0,0,0,0,0,0,0,0,0,0,0,0,0,0
440556,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63976,1,0,2,0,0,1,0,0,2,0,1,0,1,0
100422968,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984909,0,0,0,0,0,0,0,0,0,0,0,0,0,2
105378605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378604,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27237,0,0,0,0,0,0,2,0,0,0,1,0,0,0
1953,686,394,242,143,205,590,223,176,269,417,288,609,304,460
105378608,0,0,0,0,0,0,0,0,0,0,0,0,0,0
693135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105378607,0,0,0,0,0,0,0,0,1,0,0,0,0,0
127262,1291,826,683,388,509,768,638,286,470,442,1066,1335,1120,1157
49856,216,114,118,71,101,112,89,63,105,124,117,356,168,295
7161,20,11,0,1,2,2,2,1,0,5,6,5,2,7
105378610,0,0,0,0,0,0,0,0,0,0,0,1,0,2
105378609,0,0,1,0,0,0,0,0,0,1,0,0,0,0
57212,227,111,76,56,79,164,62,79,100,192,87,235,75,195
148870,0,0,0,0,0,0,0,0,0,0,0,0,0,0
388588,73,95,84,186,67,103,170,115,78,25,101,55,79,28
57470,440,281,254,121,171,343,267,133,341,386,453,789,388,585
9731,239,155,8,19,62,111,80,62,79,149,134,387,123,421
1677,116,67,33,17,21,51,32,25,22,63,52,201,82,153
107984910,1,3,0,0,0,0,0,3,0,2,1,4,2,3
339448,339,74,11,17,38,255,171,67,229,272,206,379,114,373
100133612,0,1,0,0,0,1,0,1,0,0,0,2,0,6
728716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376673,0,0,0,0,0,0,0,0,0,0,0,0,0,0
284661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376674,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376679,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107985376,33,112,117,96,56,78,53,45,61,57,71,32,40,26
55966,9,4,1,0,1,0,0,2,1,2,1,13,1,5
105376680,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102724429,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376681,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376682,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107984911,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376686,0,0,0,0,0,1,0,0,0,0,0,0,0,0
100616421,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261734,101,71,35,32,36,71,39,31,55,56,48,119,39,95
8514,1835,1955,1697,815,1236,1165,804,518,1458,1055,1860,3062,1202,2604
26038,0,0,0,0,0,0,0,0,1,2,2,6,2,1
105376687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6146,5432,1555,809,363,1046,7605,3284,2361,4530,4076,4360,6032,2731,5035
107985733,21,8,3,1,3,30,5,5,13,10,11,16,5,11
102724450,0,0,0,0,0,3,11,0,6,0,0,1,0,0
388591,15,7,3,1,7,11,7,4,16,20,4,37,4,14
23463,262,178,51,19,111,47,30,46,21,79,40,524,250,557
148645,3,0,0,1,0,0,0,2,0,0,0,2,1,1
390992,0,0,0,0,0,0,1,3,0,0,0,0,0,0
387509,107,101,48,35,18,10,15,7,20,11,9,47,18,38
11332,100,76,116,61,61,104,32,37,36,58,42,126,92,107
54626,0,0,4,0,0,0,0,0,0,0,0,0,0,0
83715,217,674,603,315,214,204,754,117,320,240,418,184,108,208
100422975,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8718,342,132,48,74,93,499,246,89,407,576,641,720,235,400
57449,39,28,15,8,19,75,25,5,49,51,67,118,18,50
79707,193,121,17,5,37,184,121,52,291,198,300,400,133,361
80835,0,3,0,0,1,13,12,1,21,2,15,0,4,1
107984912,0,2,0,0,0,0,0,0,1,0,0,0,0,0
3104,364,220,121,113,130,293,165,95,265,180,311,460,236,369
9903,869,710,513,427,392,1037,694,197,892,412,855,1165,588,1018
107984913,5,1,2,1,0,3,0,5,1,2,3,2,0,2
148479,604,255,138,82,152,432,217,72,364,162,317,235,114,228
90326,147,82,49,59,45,135,94,48,144,89,184,294,133,243
55735,166,124,18,7,60,82,81,28,83,89,158,308,105,284
100505887,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110841581,1,4,4,0,1,5,2,5,3,3,0,5,0,5
23261,208,88,143,55,83,346,176,144,218,202,315,302,156,228
105376692,0,0,0,0,0,0,0,2,0,0,0,0,0,0
102725193,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101928836,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376689,2,2,0,0,1,1,1,1,2,4,2,4,0,3
9341,1179,523,150,30,221,987,435,385,550,701,869,1115,723,1254
8863,124,31,5,1,27,55,41,44,60,112,90,221,52,196
10911,323,60,32,0,34,170,58,102,0,211,107,458,118,453
3604,84,36,3,3,29,42,35,18,74,29,32,66,41,50
11315,1142,458,634,217,447,1081,509,536,722,742,613,1724,945,1452
54206,17,14,0,0,3,0,15,7,20,25,11,17,15,8
107984915,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102724539,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105376695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50651,7,9,4,5,0,8,2,4,2,4,0,14,2,11
473,1943,1899,710,194,960,1049,546,301,808,861,605,1645,807,1719
102724552,30,18,4,0,3,23,11,3,7,14,17,18,19,17
106632271,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6272,5687,7852,2949,3922,5292,3368,2208,4604,4183,4922,10004,4531,8724
102465436,2,0,1,0,0,0,0,1,2,2,0,1,1,1
100505975,1,1,0,0,5,5,0,8,0,8,1,4,0,6
112268261,17,7,2,2,2,16,1,12,4,15,2,31,7,12
