"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","gene_name","gene_symbol"
"100287102",3.75460296520993,-0.315977085464354,2.31843996545936,-0.136288664003318,0.891593085081275,NA,"ENSG00000290825","DEAD/H-box helicase 11 like 1 (pseudogene)","DDX11L1"
"653635",39.2072705748345,0.347939477114353,0.876559729000134,0.396937556681091,0.691413508213432,0.999768645777355,NA,"WASP family homolog 7, pseudogene","WASH7P"
"100996442",27.0746844432258,-0.318195649599276,0.958293798671953,-0.332043941054659,0.73985607930081,0.999768645777355,NA,"WAS protein family homolog 9, pseudogene","WASH9P"
"729737",47.1326495009978,0.548094538603558,0.889787756005269,0.615983457745302,0.537905437695585,0.999768645777355,NA,"uncharacterized LOC729737","LOC729737"
"102725121",3.24679080777116,0.109238990820949,2.54526003891247,0.0429185973735025,0.965766423848977,NA,"ENSG00000290825","DEAD/H-box helicase 11 like 17 (pseudogene)","DDX11L17"
"102723897",46.8818788673833,0.634619331768013,0.811698440233216,0.781841260635755,0.434307869134862,0.999768645777355,NA,"WAS protein family homolog 9, pseudogene","LOC102723897"
"112268260",17.7572187651723,0.149837638965408,1.25842543913402,0.119067554028881,0.905221835973676,0.999768645777355,NA,"uncharacterized LOC112268260","LOC112268260"
"100132287",29.288974909363,0.144529081181829,0.949038958377869,0.152289934892518,0.878958263119816,0.999768645777355,NA,"uncharacterized LOC100132287","LOC100132287"
"105378947",2.71993783655052,-0.885407154229834,2.70490482589136,-0.327333940090872,0.743415324634148,NA,NA,"proline-rich extensin-like protein EPR1","LOC105378947"
"113219467",10661.6654065422,-0.361493628287124,0.247138724791555,-1.46271543883711,0.14354525983123,0.837824135511682,"ENSG00000210151","microRNA 12136","MIR12136"
"81399",3.18443208698621,0.568306059630746,2.47067584435121,0.230020486471377,0.818075850594009,NA,"ENSG00000284662","olfactory receptor family 4 subfamily F member 16","OR4F16"
"100133331",30.8003566476827,0.258326474708153,0.901671722635722,0.286497256399508,0.774497294522631,0.999768645777355,NA,NA,NA
"107984841",4.46556798265733,-0.431391936027555,2.13313854470679,-0.202233435375316,0.839734235465906,NA,NA,NA,NA
"107984847",5.26967553750267,-2.19529893820753,2.05859050685376,-1.06640875438734,0.286238906010208,NA,NA,NA,NA
"100288069",14.191815898919,0.25911819344492,1.37908358432517,0.187891579879631,0.850961643468113,0.999768645777355,NA,"uncharacterized LOC100288069","LOC100288069"
"105378580",53.8248367484946,0.876431000163882,0.732644058644619,1.1962575684914,0.231596061627465,0.929090305505886,"ENSG00000237491","long intergenic non-protein coding RNA 1409","LINC01409"
"400728",11.6982460472974,-0.441672081754393,1.45473653893348,-0.30360967084679,0.761425282914284,0.999768645777355,"ENSG00000177757","family with sequence similarity 87 member B","FAM87B"
"79854",23.9660353897157,-0.175324765345837,1.10910829202778,-0.158077228892853,0.874395943702903,0.999768645777355,NA,"long intergenic non-protein coding RNA 115","LINC00115"
"643837",1043.02873049766,-0.196963981234514,0.25820579594409,-0.762817815589093,0.445572054700414,0.999768645777355,"ENSG00000228794","long intergenic non-protein coding RNA 1128","LINC01128"
"107984850",15.8930938097842,0.467828416982506,1.2575867691826,0.372004881449718,0.709889214899247,0.999768645777355,"ENSG00000288531","uncharacterized LOC107984850","LOC107984850"
"284593",6.56551031058926,0.0282558255453953,1.84437509786138,0.0153199994828379,0.987776887075297,NA,"ENSG00000230368","family with sequence similarity 41 member C","FAM41C"
"284600",8.25264019511216,-0.426488603137182,1.69212990280666,-0.25204247169782,0.801008235558214,NA,NA,"uncharacterized LOC284600","LOC284600"
"100130417",8.73769718550549,-1.053407866087,1.73905734450625,-0.605734980168861,0.544690751736481,NA,"ENSG00000223764","long intergenic non-protein coding RNA 2593","LINC02593"
"107985728",2.44220389653234,-0.0572817013499854,2.86909543542433,-0.019965073535978,0.984071234289428,NA,NA,"collagen alpha-1(III) chain-like","LOC107985728"
"148398",187.671351290961,0.453856993149609,0.392779151221591,1.15550174121528,0.247885019987309,0.940796598782789,"ENSG00000187634","sterile alpha motif domain containing 11","SAMD11"
"26155",183.859181204277,0.693331505702715,0.401056728563744,1.72876168462666,0.0838517562457202,0.719790936822429,"ENSG00000188976","NOC2 like nucleolar associated transcriptional repressor","NOC2L"
"339451",21.226637631932,0.930384648541538,1.10744242581933,0.840120106337085,0.400841047781509,0.998139332016304,"ENSG00000187961","kelch like family member 17","KLHL17"
"9636",27.2772332394221,0.485459574285963,0.989546830910598,0.490587771211631,0.62371803729591,0.999768645777355,"ENSG00000187608","ISG15 ubiquitin like modifier","ISG15"
"375790",13.2002571974174,-0.633287771729199,1.62618438342999,-0.389431714006165,0.696956815604919,0.999768645777355,"ENSG00000188157","agrin","AGRN"
"100288175",4.45103260969798,0.788107361557455,2.25894194543721,0.348883406742407,0.727176842923425,NA,"ENSG00000291156","uncharacterized LOC100288175","LOC100288175"
"112267874",3.09315084699192,-1.20406811079708,2.60342477813737,-0.462493912214561,0.643727166991729,NA,NA,NA,NA
"105378948",7.54201454889264,-0.200382630596307,1.78908493976538,-0.112002860312817,0.910821138641556,NA,NA,"uncharacterized LOC105378948","LOC105378948"
"54991",5.30744131312906,2.03715186539656,2.04511203966862,0.996107707491001,0.319197815372731,NA,"ENSG00000131591","chromosome 1 open reading frame 159","C1orf159"
"100506376",14.9876156819111,3.82883400772562,1.63714408815198,2.33872756554229,0.0193495375809847,0.387552233737,"ENSG00000205231","TTLL10 antisense RNA 1","TTLL10-AS1"
"254173",3.04115318802791,4.99430483930635,3.44258911819126,1.45074090106064,0.146852021669757,NA,"ENSG00000162571","tubulin tyrosine ligase like 10","TTLL10"
"51150",128.796450003618,0.352611608755488,0.488685954306566,0.721550528817295,0.470570864125398,0.999768645777355,"ENSG00000078808","stromal cell derived factor 4","SDF4"
"126792",60.9712469472269,0.27988868620502,0.706660300755779,0.396072463538247,0.692051571638207,0.999768645777355,"ENSG00000176022","beta-1,3-galactosyltransferase 6","B3GALT6"
"118424",71.4160276358206,0.955844578668912,0.699646763780573,1.36618166216329,0.171881951759821,0.875057813784025,"ENSG00000160087","ubiquitin conjugating enzyme E2 J2","UBE2J2"
"6339",11.0000062647586,1.40079563768014,1.68836550413851,0.8296755852015,0.406722228896302,0.998139332016304,"ENSG00000162572","sodium channel epithelial 1 subunit delta","SCNN1D"
"116983",64.2302580608364,0.873999966195722,0.752465242146456,1.16151539930613,0.245432364426407,0.938531688045236,"ENSG00000131584","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","ACAP3"
"126789",38.2189241989579,0.738445744444147,0.807951566927857,0.913972785834183,0.360731145717431,0.995447776446473,"ENSG00000169972","pseudouridine synthase like 1","PUSL1"
"54973",155.919200946586,0.769433333295224,0.478354432471231,1.60850047802473,0.107725611593022,0.77677914684694,"ENSG00000127054","integrator complex subunit 11","INTS11"
"80772",6.94725896705411,-0.364991323643763,2.35004655190303,-0.155312380236978,0.876575056028052,NA,"ENSG00000224051","ceramide-1-phosphate transfer protein","CPTP"
"83756",5.12501881830608,1.19170423296596,2.02859448050563,0.587453157552182,0.556899401566946,NA,"ENSG00000169962","taste 1 receptor member 3","TAS1R3"
"1855",49.1832651054015,0.306737497192885,0.76099250998729,0.40307557980828,0.686892624776163,0.999768645777355,"ENSG00000107404","dishevelled segment polarity protein 1","DVL1"
